logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.5 3.0 0.002 7.67 4.673 7.59 1.475 75.031 100.0 422.041 276.52 0.387 0.0 17.338 39.098 8.366 0.034 0.012 14.8 0.003 0.01 28.662
-1.0 3.0 0.002 7.67 4.383 10.017 2.22 71.485 100.0 471.332 275.608 0.171 0.0 9.49 28.531 8.337 0.013 0.006 14.732 0.002 0.005 28.476
-4.0 3.0 0.003 7.846 4.355 0.0 0.475 4.0 100.0 4.514 281.531 16.136 1.064 10.22 38.656 8.694 0.756 1.163 15.493 0.308 0.984 30.41
-3.5 3.0 0.003 7.846 5.61 0.017 0.703 13.795 100.0 41.403 280.674 16.25 0.282 20.552 43.883 8.603 0.665 0.567 15.317 0.15 0.48 29.963
-3.0 3.0 0.003 7.846 6.165 0.338 0.799 31.251 100.0 180.871 279.506 10.416 0.057 31.156 47.042 8.547 0.504 0.239 15.192 0.063 0.202 29.642
-2.5 3.0 0.003 7.846 6.092 1.493 0.876 50.437 100.0 343.628 278.432 4.533 0.01 36.614 47.525 8.517 0.293 0.095 15.109 0.025 0.08 29.428
-2.0 3.0 0.003 7.846 5.866 3.931 1.014 68.483 100.0 454.545 277.604 1.724 0.002 34.36 43.606 8.493 0.133 0.04 15.039 0.01 0.034 29.242
-1.5 3.0 0.003 7.846 5.685 6.01 1.328 80.295 100.0 530.571 276.769 0.685 0.0 24.764 34.641 8.466 0.052 0.019 14.974 0.005 0.016 29.059
-1.0 3.0 0.003 7.846 5.52 8.618 2.097 81.942 100.0 597.689 275.951 0.321 0.0 14.365 25.58 8.432 0.021 0.01 14.9 0.003 0.009 28.854
-4.0 3.0 0.004 7.971 4.863 0.0 0.194 4.476 100.0 5.036 281.209 23.262 1.342 13.026 37.724 8.737 0.982 1.524 15.56 0.403 1.289 30.553
-3.5 3.0 0.004 7.971 6.274 0.016 0.275 15.007 100.0 45.795 280.375 23.494 0.358 26.032 42.868 8.656 0.864 0.747 15.399 0.198 0.632 30.143
-3.0 3.0 0.004 7.971 6.86 0.319 0.318 32.138 100.0 202.158 279.354 15.292 0.073 38.923 45.523 8.614 0.653 0.315 15.298 0.083 0.266 29.882
-2.5 3.0 0.004 7.971 6.814 1.309 0.367 49.219 100.0 387.634 278.503 6.757 0.012 45.339 45.086 8.594 0.382 0.124 15.24 0.033 0.105 29.73
-2.0 3.0 0.004 7.971 6.67 3.027 0.456 65.491 100.0 512.731 277.865 2.604 0.002 43.075 40.238 8.578 0.176 0.052 15.189 0.014 0.044 29.587
-1.5 3.0 0.004 7.971 6.663 4.668 0.649 79.204 100.0 600.468 277.06 1.059 0.0 32.334 31.54 8.552 0.072 0.025 15.127 0.007 0.021 29.411
-1.0 3.0 0.004 7.971 6.774 6.908 1.107 87.841 100.0 685.009 276.293 0.516 0.0 19.94 23.945 8.514 0.031 0.014 15.047 0.004 0.012 29.186
-4.0 3.0 0.006 8.147 5.555 0.0 0.124 4.943 100.0 6.025 280.899 39.544 1.855 17.926 36.334 8.797 1.407 2.265 15.661 0.599 1.916 30.773
-3.5 3.0 0.006 8.147 7.117 0.016 0.174 15.532 100.0 53.018 280.148 39.686 0.496 35.304 41.085 8.731 1.231 1.126 15.526 0.298 0.952 30.426
